State,Type,Tenure,Median_Price,Median_PSF,Transactions
Penang,"Semi D, Terrace House, Town House",Freehold,350000.0,245.0,12.0
Perak,Condominium,Freehold,300000.0,220.0,12.0
Sarawak,"Flat, Apartment",Leasehold,65500.0,139.0,12.0
Putrajaya,Flat,Freehold,250000.0,357.0,12.0
Negeri Sembilan,Service Residence,Freehold,260000.0,446.0,12.0
Melaka,"Semi D, Terrace House","Freehold, Leasehold",320000.0,204.0,11.0
Negeri Sembilan,"Terrace House, Semi D, Bungalow",Freehold,580000.0,207.0,11.0
Negeri Sembilan,"Terrace House, Semi D",Leasehold,375000.0,173.0,11.0
Perak,"Cluster House, Semi D",Leasehold,435240.0,182.0,11.0
Perak,"Semi D, Terrace House",Freehold,317800.0,187.0,11.0
Perak,"Town House, Terrace House",Leasehold,608000.0,294.0,11.0
Terengganu,"Bungalow, Semi D","Freehold, Leasehold",360000.0,83.0,11.0
Sarawak,Bungalow,Leasehold,680000.0,114.0,11.0
Perak,Apartment,Leasehold,250000.0,287.0,11.0
Melaka,"Cluster House, Town House, Terrace House",Freehold,205000.0,173.0,10.0
Kedah,"Cluster House, Terrace House",Freehold,408900.0,156.0,10.0
Negeri Sembilan,Terrace House,"Leasehold, Freehold",356500.0,247.0,10.0
Kelantan,Bungalow,Freehold,342500.0,97.0,10.0
Selangor,"Bungalow, Semi D",Leasehold,372500.0,128.0,10.0
Melaka,"Semi D, Town House",Freehold,200000.0,136.0,10.0
Sarawak,"Bungalow, Semi D",Leasehold,865000.0,274.0,10.0
Johor,"Terrace House, Semi D","Leasehold, Freehold",425000.0,256.0,10.0
